Marca temporal,Edad:,Género,Tipo de colegio,Facultad,Carrera ,Carrera,Carrera,Carrera,Carrera,Año de carrera,Rendimiento académico general,Rendimiento académico último cuatrimestre,¿Cuántas horas duermes? (en periodo de exámenes),¿Cuántas horas duermes? (excluyendo periodo de exámenes),¿Cuántas horas de ocio? (en periodo de exámenes),¿Cuántas horas de ocio tienes? (excluyendo periodo de exámenes),¿Cuántas horas de estudio independiente? (excluyendo periodo de exámenes),¿Cuántas horas de estudio independiente? (en periodo de exámenes),¿Cómo de saludables definirías tus hábitos nutricionales?,¿Cuán activa definirías tu vida social?,¿Cuál es tu situación doméstica?,¿Cuál es tu situación laboral?,¿Consideras que tienes estrés?,¿Tomas alguna medida para combatir tu estrés?,¿Cuántas veces sales de fiesta al mes? (sin período de exámenes),¿Cuántas veces a la semana haces deporte? (sin estar en período de exámenes),Hobbies,¿Tienes pareja estable?,¿Cuánto tiempo pasas con tu pareja? (en período de exámenes),¿Cuánto tiempo pasas con tu pareja? (sin estar en período de exámenes)
12/04/2022 10:30:04,20,Mujer,Concertado,Educación,,,Educación social,,,Segundo año,Entre 6 y 7,Entre 6 y 7,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,6,5,Vivo en un piso compartido,Busco trabajo de manera activa,Sí,Si,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Escuchar música, Leer, Ver películas, Videojuegos",No,,
12/04/2022 11:06:46,21,Mujer,Concertado,Educación,,,Educación social,,,Primer año,Entre 6 y 7,Entre 5 y 6,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,menos de 1 hora diaria,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,9,7,Vivo con mis padres,Busco trabajo de manera activa,Sí,Si,Nunca o casi nunca salgo de fiesta,3 o 4 veces por semana,"Cocina, Leer, Ver películas, Videojuegos",No,,
12/04/2022 11:08:49,25,Hombre,Público,Filosofía y Letras,,,,Filosofía,,Segundo año,Entre 6 y 7,Entre 6 y 7,entre 5 y 6 horas diarias,entre 5 y 6 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,5,8,Vivo solo,Trabajo en verano,No,,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Escuchar música, Leer, Ver películas",No,,
12/04/2022 11:11:05,28,Hombre,Concertado,Filosofía y Letras,,,,Historia,,Segundo año,Entre 5 y 6,Entre 5 y 6,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,6,8,Vivo solo,Trabajo en verano,No,,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Bailar, Cocina, Escuchar música, Fotografía, Leer, Ver películas",No,,
12/04/2022 11:13:20,27,Hombre,Público,Economía y Empresa,Economía,,,,,Primer año,Entre 6 y 7,Entre 5 y 6,entre 6 y 7 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,8,7,Vivo en un piso compartido,No tengo trabajo,Sí,Si,Nunca o casi nunca salgo de fiesta,3 o 4 veces por semana,"Cocina, Escuchar música, Fotografía, Leer, Ver películas",No,,
12/04/2022 11:20:16,21,Hombre,Concertado,EPS,,,,,Matemáticas,Segundo año,Entre 5 y 6,Entre 4 y 5,entre 5 y 6 horas diarias,entre 5 y 6 horas diarias,entre 2 y 3 horas diarias,entre 5 y 6 horas diarias,entre 3 y 4 horas diarias,entre 2 y 3 horas diarias,8,4,Vivo con mis padres,No tengo trabajo,No,,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Cocina, Leer, Teatro",No,,
12/04/2022 11:34:18,21,Hombre,Público,Ciencias,,Biología,,,,Segundo año,Entre 8 y 9,Entre 7 y 8,entre 6 y 7 horas diarias,entre 7 y 8 horas diarias,entre 2 y 3 horas diarias,entre 7 y 8 horas diarias,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,7,5,Vivo con mis padres,No tengo trabajo,Sí,No,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Bailar, Cocina, Fotografía, Meditación/Yoga",No,,
12/04/2022 11:44:23,25,Mujer,Concertado,EPS,,,,,Ingeniería Agroalimentaria y de Medio Rural,Segundo año,Entre 7 y 8,Entre 6 y 7,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 5 y 6 horas diarias,8,6,Vivo solo,No tengo trabajo,Sí,Si,Nunca o casi nunca salgo de fiesta,3 o 4 veces por semana,"Bailar, Cocina, Leer, Meditación/Yoga, Ver películas",No,,
12/04/2022 11:49:30,33,Hombre,Público,Filosofía y Letras,,,,Filosofía,,Más de cinco años,Entre 9 y 10,Entre 9 y 10,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,menos de 1 hora diaria,menos de 1 hora diaria,más de 8 horas diarias,más de 8 horas diarias,10,5,Vivo con mis padres,Busco trabajo de manera activa,No,,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Leer, Meditación/Yoga",No,,
12/04/2022 13:45:14,22,Mujer,Concertado,Educación,,,Enfermería,,,Tercer año,Entre 7 y 8,Entre 7 y 8,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,8,6,Vivo con mis padres,No tengo trabajo,Sí,No,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Cocina, Instrumento musical, Leer, Teatro, Ver películas",No,,
12/04/2022 13:46:40,22,Hombre,Público,Filosofía y Letras,,,,Lengua y Literatura catalana,,Segundo año,Entre 7 y 8,Entre 7 y 8,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,entre 5 y 6 horas diarias,9,2,Vivo con mis padres,No tengo trabajo,Tal vez,No,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Escuchar música, Leer, Ver películas",No,,
12/04/2022 13:48:18,22,Mujer,Público,Educación,,,Pedagogía,,,Tercer año,Entre 6 y 7,Entre 5 y 6,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,menos de 1 hora diaria,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,7,2,Vivo con mis padres,No tengo trabajo,Tal vez,NS/NC,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Cocina, Instrumento musical, Leer",No,,
12/04/2022 13:49:45,22,Mujer,Concertado,Educación,,,Enfermería,,,Segundo año,Entre 8 y 9,Entre 7 y 8,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 2 y 3 horas diarias,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,menos de 1 hora diaria,7,2,Vivo con mis padres,No tengo trabajo,Tal vez,NS/NC,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Escuchar música, Leer",No,,
12/04/2022 13:51:23,24,Mujer,Concertado,Filosofía y Letras,,,,Historia del arte,,Tercer año,Entre 7 y 8,Entre 7 y 8,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,entre 6 y 7 horas diarias,5,2,Vivo solo,Trabajo en verano,Tal vez,NS/NC,Nunca o casi nunca salgo de fiesta,1 o 2 veces por semana,"Escuchar música, Instrumento musical, Leer",No,,
12/04/2022 13:53:10,29,Hombre,Concertado,Ciencias,,Física,,,,Segundo año,Entre 6 y 7,Entre 5 y 6,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,entre 6 y 7 horas diarias,6,3,Vivo en un piso compartido,Trabajo de manera esporádica,Tal vez,No,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Escuchar música, Ver películas, Videojuegos",No,,
12/04/2022 13:58:47,21,Mujer,Público,EPS,,,,,Edificación,Segundo año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,menos de 1 hora diaria,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 6 y 7 horas diarias,4,7,Vivo solo,Trabajo de manera esporádica,Sí,No,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Escuchar música, Leer, Ver películas, Videojuegos",No,,
12/04/2022 14:00:41,27,Hombre,Concertado,Educación,,,Psicología,,,Tercer año,Entre 7 y 8,Entre 7 y 8,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 3 y 4 horas diarias,entre 3 y 4 horas diarias,entre 6 y 7 horas diarias,6,5,Vivo en un piso compartido,Busco trabajo de manera activa,Sí,Si,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Cocina, Escuchar música, Leer, Ver películas",No,,
12/04/2022 14:03:07,32,Hombre,Público,Economía y Empresa,Administración de Empresas,,,,,Cuarto año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,entre 6 y 7 horas diarias,8,6,Vivo con mis padres,Busco trabajo de manera activa,Tal vez,No,Nunca o casi nunca salgo de fiesta,1 o 2 veces por semana,"Escuchar música, Leer, Videojuegos",No,,
12/04/2022 14:05:16,21,Mujer,Concertado,EPS,,,,,Ingeniería Informática,Segundo año,Entre 7 y 8,Entre 6 y 7,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,entre 5 y 6 horas diarias,9,5,Vivo con mis padres,Trabajo en verano,Tal vez,No,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Escuchar música, Fotografía, Instrumento musical",No,,
12/04/2022 14:13:14,26,Hombre,Público,Filosofía y Letras,,,,Estudios Ingleses,,Tercer año,Entre 7 y 8,Entre 5 y 6,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,7,5,Vivo con mis padres,Busco trabajo de manera activa,Sí,Si,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Coser/ganchillo, Cocina, Dibujar, Fotografía, Ver películas",No,,
12/04/2022 14:16:23,23,,Público,Educación,,,Psicología,,,Segundo año,Entre 6 y 7,Entre 5 y 6,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,7,7,Vivo con mis padres,Trabajo en verano,No,,Salgo de fiesta una o dos veces al mes,Casi nunca/No hago deporte,"Escuchar música, Leer, Ver películas",No,,
12/04/2022 14:19:09,27,Mujer,Público,Educación,,,Psicología,,,Tercer año,Entre 6 y 7,Entre 5 y 6,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,entre 5 y 6 horas diarias,8,5,Vivo con mis padres,Trabajo en verano,Tal vez,NS/NC,Salgo de fiesta una o dos veces al mes,Casi nunca/No hago deporte,"Coser/ganchillo, Cocina, Escuchar música, Fotografía",No,,
12/04/2022 14:23:23,28,Hombre,Público,Economía y Empresa,Doble grado de AdE y Economía,,,,,Tercer año,Entre 6 y 7,Entre 5 y 6,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,entre 5 y 6 horas diarias,8,3,Vivo con mis padres,Busco trabajo de manera activa,Sí,Si,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,"Escuchar música, Leer",No,,
12/04/2022 14:37:42,21,Mujer,Concertado,Educación,,,Pedagogía,,,Cuarto año,Entre 7 y 8,Entre 7 y 8,entre 5 y 6 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,entre 7 y 8 horas diarias,7,8,Vivo con mis padres,Tengo trabajo estable,Sí,Si,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Bailar, Bricolaje/Jardinería, Coser/ganchillo, Cocina, Dibujar, Escuchar música, Fotografía, Instrumento musical, Leer, Meditación/Yoga",No,,
12/04/2022 14:37:56,24,Mujer,Público,Educación,,,Pedagogía,,,Cuarto año,Entre 6 y 7,Entre 7 y 8,entre 4 y 5 horas diarias,entre 6 y 7 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,entre 7 y 8 horas diarias,7,9,Vivo con mis padres,Trabajo en verano,Sí,Si,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,"Bailar, Dibujar, Escuchar música, Instrumento musical, Leer, Meditación/Yoga, Teatro, Ver películas",No,,
12/04/2022 14:48:06,21,Hombre,Público,EPS,,,,,Ingeniería Agroalimentaria y de Medio Rural,Tercer año,Entre 6 y 7,Entre 7 y 8,entre 8 y 9 horas diarias,entre 8 y 9 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,entre 1 y 2 horas diarias,entre 7 y 8 horas diarias,7,7,Vivo con mis padres,Trabajo en verano,No,,Salgo de fiesta más de dos veces al mes,5 o más,"Escuchar música, Leer, Ver películas",No,,
12/04/2022 14:48:33,22,Hombre,Concertado,EPS,,,,,Ingeniería Agroalimentaria y de Medio Rural,Tercer año,Entre 6 y 7,Entre 5 y 6,entre 5 y 6 horas diarias,entre 5 y 6 horas diarias,menos de 1 hora diaria,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 6 y 7 horas diarias,7,9,Vivo con mis padres,Trabajo en verano,Sí,Si,Salgo de fiesta más de dos veces al mes,5 o más,"Escuchar música, Instrumento musical, Videojuegos",No,,
12/04/2022 15:11:16,19,Mujer,Público,Educación,,,Psicología,,,Primer año,Entre 7 y 8,Entre 7 y 8,entre 8 y 9 horas diarias,más de 9 horas diarias,entre 2 y 3 horas diarias,entre 5 y 6 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,8,8,Vivo con mis padres,No tengo trabajo,Sí,Si,Salgo de fiesta más de dos veces al mes,1 o 2 veces por semana,"Escuchar música, Leer, Ver películas",No,,
12/04/2022 15:11:17,19,Mujer,Concertado,Educación,,,Psicología,,,Primer año,Entre 7 y 8,Entre 7 y 8,más de 9 horas diarias,más de 9 horas diarias,menos de 1 hora diaria,entre 4 y 5 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,8,5,Vivo con mis padres,No tengo trabajo,Sí,Si,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Escuchar música, Leer, Ver películas",No,,
12/04/2022 15:17:36,19,Hombre,Público,Educación,,,Educación primaria,,,Segundo año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 8 y 9 horas diarias,entre 3 y 4 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,6,8,Vivo con mis padres,No tengo trabajo,No,,Salgo de fiesta más de dos veces al mes,5 o más,"Escuchar música, Instrumento musical, Videojuegos",No,,
12/04/2022 15:24:15,19,Mujer,Público,Educación,,,Educación infantil,,,Segundo año,Entre 6 y 7,Entre 6 y 7,entre 5 y 6 horas diarias,entre 7 y 8 horas diarias,entre 2 y 3 horas diarias,entre 5 y 6 horas diarias,menos de 1 hora diaria,entre 4 y 5 horas diarias,7,8,Vivo con mis padres,Tengo trabajo estable,Sí,No,Salgo de fiesta más de dos veces al mes,5 o más,"Bailar, Cocina, Escuchar música, Ver películas",No,,
12/04/2022 15:24:18,19,Hombre,Concertado,Economía y Empresa,Economía,,,,,Segundo año,Entre 6 y 7,Entre 7 y 8,menos de 4 horas diarias,entre 5 y 6 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,10,8,Vivo con mis padres,Tengo trabajo estable,No,,Salgo de fiesta más de dos veces al mes,5 o más,"Bailar, Cocina, Escuchar música, Leer, Ver películas, Videojuegos",No,,
12/04/2022 15:41:10,20,Hombre,Concertado,Ciencias,,Química,,,,Tercer año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 8 y 9 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,entre 4 y 5 horas diarias,5,5,Vivo en un piso compartido,Trabajo en verano,No,,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Ver películas, Videojuegos",No,,
12/04/2022 15:44:59,22,Hombre,Público,Ciencias,,Química,,,,Segundo año,Entre 5 y 6,Entre 5 y 6,entre 5 y 6 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,8,7,Vivo con mis padres,No tengo trabajo,Sí,NS/NC,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Cocina, Escuchar música, Fotografía, Instrumento musical",No,,
12/04/2022 15:46:46,22,Mujer,Público,Ciencias,,Bioquímica,,,,Tercer año,Entre 8 y 9,Entre 8 y 9,entre 4 y 5 horas diarias,entre 8 y 9 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 2 y 3 horas diarias,más de 8 horas diarias,5,3,Vivo en un piso compartido,No tengo trabajo,Sí,No,Salgo de fiesta más de dos veces al mes,1 o 2 veces por semana,"Escuchar música, Ver películas",No,,
12/04/2022 15:47:31,21,Hombre,Concertado,Economía y Empresa,Administración de Empresas,,,,,Tercer año,Entre 5 y 6,Entre 4 y 5,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,9,4,Vivo en un piso compartido,No tengo trabajo,Tal vez,NS/NC,Nunca o casi nunca salgo de fiesta,3 o 4 veces por semana,"Escuchar música, Leer, Videojuegos",No,,
12/04/2022 15:50:14,21,Hombre,Concertado,Ciencias,,Biología,,,,Tercer año,Entre 7 y 8,Entre 7 y 8,entre 5 y 6 horas diarias,entre 6 y 7 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,entre 1 y 2 horas diarias,entre 5 y 6 horas diarias,9,4,Vivo en un piso compartido,Trabajo en verano,Sí,No,Nunca o casi nunca salgo de fiesta,3 o 4 veces por semana,"Escuchar música, Leer, Ver películas, Videojuegos",No,,
12/04/2022 15:55:48,20,Hombre,Público,EPS,,,,,Ingeniería Informática,Tercer año,Entre 5 y 6,Entre 5 y 6,entre 7 y 8 horas diarias,entre 8 y 9 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,entre 2 y 3 horas diarias,9,6,Vivo en un piso compartido,Trabajo en verano,No,,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Escuchar música, Ver películas, Videojuegos",No,,
12/04/2022 15:56:10,20,No binario,Público,Filosofía y Letras,,,,Trabajo Social,,Segundo año,Entre 6 y 7,Entre 6 y 7,entre 8 y 9 horas diarias,entre 8 y 9 horas diarias,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,menos de 1 hora diaria,entre 3 y 4 horas diarias,9,8,Vivo en un piso compartido,No tengo trabajo,Tal vez,No,Salgo de fiesta más de dos veces al mes,Casi nunca/No hago deporte,"Bailar, Instrumento musical, Leer, Meditación/Yoga, Teatro, Ver películas, Videojuegos",No,,
12/04/2022 15:58:28,23,Hombre,Público,Ciencias,,Física,,,,Quinto año,Entre 6 y 7,Entre 4 y 5,entre 7 y 8 horas diarias,más de 9 horas diarias,entre 2 y 3 horas diarias,más de 8 horas diarias,entre 1 y 2 horas diarias,entre 6 y 7 horas diarias,7,9,Vivo con mis padres,Tengo trabajo estable,No,,Salgo de fiesta más de dos veces al mes,1 o 2 veces por semana,"Bricolaje/Jardinería, Coser/ganchillo, Cocina, Escuchar música, Instrumento musical, Leer, Meditación/Yoga, Videojuegos",No,,
12/04/2022 16:06:24,21,Hombre,Público,Economía y Empresa,Economía,,,,,Tercer año,Entre 8 y 9,Entre 8 y 9,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,8,8,Vivo con mis padres,No tengo trabajo,No,,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Cocina, Escuchar música, Leer",No,,
12/04/2022 16:06:37,24,Hombre,Público,Filosofía y Letras,,,,Filosofía,,Quinto año,Entre 5 y 6,Entre 5 y 6,entre 4 y 5 horas diarias,entre 7 y 8 horas diarias,entre 2 y 3 horas diarias,entre 5 y 6 horas diarias,menos de 1 hora diaria,entre 5 y 6 horas diarias,6,9,Vivo en un piso compartido,No tengo trabajo,Tal vez,Si,Salgo de fiesta más de dos veces al mes,1 o 2 veces por semana,"Bailar, Leer, Teatro",No,,
12/04/2022 16:06:43,23,Hombre,Público,Filosofía y Letras,,,,Filosofía,,Cuarto año,Entre 6 y 7,Entre 6 y 7,entre 4 y 5 horas diarias,entre 8 y 9 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,3,9,Vivo en un piso compartido,No tengo trabajo,Sí,Si,Salgo de fiesta más de dos veces al mes,1 o 2 veces por semana,"Bailar, Teatro, Videojuegos",No,,
12/04/2022 16:12:39,20,Hombre,Público,Filosofía y Letras,,,,Historia del arte,,Tercer año,Entre 8 y 9,Entre 8 y 9,entre 7 y 8 horas diarias,entre 8 y 9 horas diarias,entre 1 y 2 horas diarias,más de 8 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,8,9,Vivo con mis padres,No tengo trabajo,No,,Salgo de fiesta más de dos veces al mes,5 o más,"Escuchar música, Ver películas, Videojuegos",No,,
12/04/2022 16:14:26,20,Mujer,Público,Educación,,,Educación infantil,,,Primer año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,7,7,Vivo con mis padres,Trabajo en verano,Tal vez,Si,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Escuchar música, Meditación/Yoga, Ver películas, Videojuegos",No,,
12/04/2022 16:23:13,23,Hombre,Público,Filosofía y Letras,,,,Geografía,,Cuarto año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,7,6,Vivo con mis padres,Trabajo en verano,Tal vez,No,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,"Escuchar música, Leer, Ver películas",No,,
13/04/2022 12:18:04,21,Hombre,Público,Educación,,,Educación primaria,,,Cuarto año,Entre 7 y 8,Entre 7 y 8,entre 8 y 9 horas diarias,entre 8 y 9 horas diarias,entre 2 y 3 horas diarias,entre 2 y 3 horas diarias,menos de 1 hora diaria,menos de 1 hora diaria,6,7,Vivo en un piso compartido,Trabajo en verano,Tal vez,No,Salgo de fiesta una o dos veces al mes,Casi nunca/No hago deporte,"Escuchar música, Ver películas, Videojuegos",No,,
9/05/2022 14:05:16,18,Mujer,Público,Filosofía y Letras,,,,Estudios Ingleses,,Primer año,Entre 8 y 9,Entre 8 y 9,entre 5 y 6 horas diarias,entre 7 y 8 horas diarias,entre 4 y 5 horas diarias,entre 5 y 6 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,7,8,Vivo en un piso compartido,Trabajo en verano,Sí,Si,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,"Bailar, Cocina, Leer, Ver películas",No,,
9/05/2022 14:07:03,19,Mujer,Público,Filosofía y Letras,,,,Estudios Ingleses,,Primer año,Entre 5 y 6,Entre 5 y 6,entre 5 y 6 horas diarias,entre 7 y 8 horas diarias,entre 2 y 3 horas diarias,más de 8 horas diarias,menos de 1 hora diaria,entre 4 y 5 horas diarias,8,8,Vivo con mis padres,Tengo trabajo estable,Sí,Si,Salgo de fiesta una o dos veces al mes,Casi nunca/No hago deporte,"Leer, Ver películas",No,,
10/05/2022 13:58:05,20,Hombre,Público,Ciencias,,Química,,,,Segundo año,Entre 5 y 6,Entre 4 y 5,entre 5 y 6 horas diarias,entre 7 y 8 horas diarias,entre 2 y 3 horas diarias,entre 4 y 5 horas diarias,menos de 1 hora diaria,entre 3 y 4 horas diarias,5,7,Vivo en un piso compartido,No tengo trabajo,Tal vez,No,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Escuchar música, Ver películas, Videojuegos",No,,
12/05/2022 11:00:28,18,Hombre,Concertado,Economía y Empresa,Economía,,,,,Primer año,Entre 4 y 5,Entre 4 y 5,entre 8 y 9 horas diarias,entre 8 y 9 horas diarias,entre 3 y 4 horas diarias,entre 3 y 4 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,7,8,Vivo en un piso compartido,No tengo trabajo,No,,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,"Escuchar música, Ver películas, Videojuegos",No,,
13/05/2022 9:53:45,19,Hombre,Público,EPS,,,,,Ingeniería Telemática,Segundo año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 2 y 3 horas diarias,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,entre 3 y 4 horas diarias,5,4,Vivo con mis padres,No tengo trabajo,Tal vez,No,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Escuchar música, Fotografía, Instrumento musical, Videojuegos",No,,
13/05/2022 9:59:52,24,Hombre,Concertado,EPS,,,,,Ingeniería Telemática,Segundo año,Entre 6 y 7,Entre 7 y 8,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 2 y 3 horas diarias,entre 4 y 5 horas diarias,entre 2 y 3 horas diarias,entre 4 y 5 horas diarias,8,9,Vivo con mis padres,No tengo trabajo,Tal vez,Si,Nunca o casi nunca salgo de fiesta,3 o 4 veces por semana,"Escuchar música, Videojuegos",No,,
13/05/2022 10:03:57,20,Hombre,Público,EPS,,,,,Ingeniería Telemática,Primer año,Menor que 4,Entre 4 y 5,entre 6 y 7 horas diarias,entre 7 y 8 horas diarias,más de 8 horas diarias,entre 6 y 7 horas diarias,entre 2 y 3 horas diarias,entre 4 y 5 horas diarias,5,4,Vivo con mis padres,Trabajo en verano,Tal vez,No,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Ver películas, Videojuegos",No,,
13/05/2022 10:06:51,20,Hombre,Concertado,EPS,,,,,Ingeniería Informática,Segundo año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 5 y 6 horas diarias,8,7,Vivo con mis padres,No tengo trabajo,No,,Nunca o casi nunca salgo de fiesta,1 o 2 veces por semana,"Escuchar música, Leer, Ver películas, Videojuegos",No,,
